,country,duration_seconds,english_cname,file_id,file_name,file_url,genus,latitude,license,location,longitude,recordist,recordist_url,sonogram_url,species,type,remarks,full_name
0,United States,3,Abert's Towhee,17804,XC17804.mp3,https://www.xeno-canto.org/17804/download,Melozone,33.3117,http://creativecommons.org/licenses/by-nc-nd/2.5/,"Cibola National Wildlife Refuge, Cibola, Arizona, United States",-114.68912,Nathan Pieplow,https://www.xeno-canto.org/contributor/EKKJJJRDJY,https://www.xeno-canto.org/sounds/uploaded/EKKJJJRDJY/ffts/XC17804-med.png,aberti,'seet' call,"XC17804 © Nathan Pieplow // Cibola National Wildlife Refuge, Cibola, Arizona (33.3117, -114.68912), United States // 600m // 11:00h, 2008-01-09 // 'seet' call",Abert's Towhee (Melozone aberti)
1,United States,4,Abert's Towhee,177367,XC177367.mp3,https://www.xeno-canto.org/177367/download,Melozone,34.285,http://creativecommons.org/licenses/by-nc-sa/4.0/,"Bill Williams River NWR, Arizona, United States",-114.069,Lauren Harter,https://www.xeno-canto.org/contributor/YQNGFTBRRT,https://www.xeno-canto.org/sounds/uploaded/YQNGFTBRRT/ffts/XC177367-med.png,aberti,call,"XC177367 © Lauren Harter // Bill Williams River NWR, Arizona (34.285, -114.069), United States // 150m // 08:20h, 2014-04-28 // call // Squeal duet, probably involving a fledgling and an adult, but the birds were not seen. /  / bird-seen:no /  / playback-used:no",Abert's Towhee (Melozone aberti dumeticola)
2,United States,4,Abert's Towhee,145505,XC145505.mp3,https://www.xeno-canto.org/145505/download,Melozone,34.285,http://creativecommons.org/licenses/by-nc-sa/3.0/,"Bill Williams River NWR, Arizona, United States",-114.069,Lauren Harter,https://www.xeno-canto.org/contributor/YQNGFTBRRT,https://www.xeno-canto.org/sounds/uploaded/YQNGFTBRRT/ffts/XC145505-med.png,aberti,Squeal duet,"XC145505 © Lauren Harter // Bill Williams River NWR, Arizona (34.285, -114.069), United States // 150m // 08:50h, 2013-04-19 // Squeal duet // Interaction of at least two birds, presumably in a family group, from dense mesquite/tamarisk. /  / bird-seen:no /  / playback-used:no // also:  Warbling Vireo, Song Sparrow",Abert's Towhee (Melozone aberti dumeticola)
3,United States,5,Abert's Towhee,228159,XC228159.mp3,https://www.xeno-canto.org/228159/download,Melozone,33.1188,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Salton Sea, CA, United States",-115.7945,Peter Boesman,https://www.xeno-canto.org/contributor/OOECIWCSWV,https://www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC228159-med.png,aberti,interaction duet,"XC228159 © Peter Boesman // Salton Sea, CA, United States // m // 10:50h, 2007-02-13 // interaction duet // ID certainty 100%. (Archiv. tape 500 side A track 16 seq. A)",Abert's Towhee (Melozone aberti)
4,United States,5,Abert's Towhee,51313,XC51313.mp3,https://www.xeno-canto.org/51313/download,Melozone,36.0628,http://creativecommons.org/licenses/by-nc-sa/3.0/,"Sunset Park, Las Vegas, Nevada, United States",-115.1128,Mike Nelson,https://www.xeno-canto.org/contributor/PWDLINYMKL,https://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC51313-med.png,aberti,call,"XC51313 © Mike Nelson // Sunset Park, Las Vegas (36.063, -115.113), United States // 300m // 10:30amh, 2009-03-05 // call // In some open woody area of the park. img:http://www.flickr.com/photos/madbirder/8070373499/in/set-72157629690651082 /  / bird-seen:yes /  / playback-used:no",Abert's Towhee (Melozone aberti dumeticola)
5,United States,6,Abert's Towhee,111831,XC111831.mp3,https://www.xeno-canto.org/111831/download,Melozone,32.743,http://creativecommons.org/licenses/by-nc-nd/2.5/,"Quigley Wildlife Management Area, Yuma County, Arizona, United States",-113.955,Richard E Webster,https://www.xeno-canto.org/contributor/KZYUWIRZVH,https://www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC111831-med.png,aberti,call,"XC111831 © Richard E Webster // Quigley Wildlife Management Area, Yuma County, Arizona (32.743, -113.955), United States // 100m // 06:40h, 2010-09-27 // call // 1st cut of this individual",Abert's Towhee (Melozone aberti aberti)
6,United States,6,Abert's Towhee,289047,XC289047.mp3,https://www.xeno-canto.org/289047/download,Melozone,34.2599,http://creativecommons.org/licenses/by-nc-sa/4.0/,"Quail Hollow, San Bernardino County, California, United States",-114.1567,Lauren Harter,https://www.xeno-canto.org/contributor/YQNGFTBRRT,https://www.xeno-canto.org/sounds/uploaded/YQNGFTBRRT/ffts/XC289047-med.png,aberti,call,"XC289047 © Lauren Harter // Quail Hollow, San Bernardino County, California (34.2599, -114.1567), United States // 110m // 09:55h, 2013-05-16 // call // Squeal duet. Habitat: Athel tamarisk and large mesquites in a fairly open area. Traffic noise from nearby small highway. /  / playback-used:no",Abert's Towhee (Melozone aberti)
7,United States,7,Abert's Towhee,119222,XC119222.mp3,https://www.xeno-canto.org/119222/download,Melozone,36.51300000000001,http://creativecommons.org/licenses/by-nc-sa/3.0/,"Overton WMA, Clark County, Nevada, United States",-114.418,Ryan P. O'Donnell,https://www.xeno-canto.org/contributor/SDXVTLDNGJ,https://www.xeno-canto.org/sounds/uploaded/SDXVTLDNGJ/ffts/XC119222-med.png,aberti,call,"XC119222 © Ryan P. O'Donnell // Overton WMA, Clark County, Nevada (36.513, -114.418), United States // 380m // 06:58h, 2013-01-20 // call // [eBird checklist.](http://ebird.org/ebird/view/checklist?subID=S12676923) /  / bird-seen:yes /  / playback-used:no",Abert's Towhee (Melozone aberti)
8,United States,8,Abert's Towhee,314730,XC314730.mp3,https://www.xeno-canto.org/314730/download,Melozone,32.7257,http://creativecommons.org/licenses/by-nc-sa/4.0/,"Yuma East Wetlands, Yuma, Arizona, United States",-114.6074,Bobby Wilcox,https://www.xeno-canto.org/contributor/YHKQPPJDVP,https://www.xeno-canto.org/sounds/uploaded/YHKQPPJDVP/ffts/XC314730-med.png,aberti,call,"XC314730 © Bobby Wilcox // Yuma East Wetlands, Yuma, Arizona (32.7257, -114.6074), United States // 40m // 06:00h, 2016-04-30 // call // This call, sometimes referred to as the squeal or squeak duet, is given by two birds who have been foraging apart and get too far apart and then come back together.  It is typically given by a mated pair but can be adult and juveniles or two juveniles as well.  I did not get a good enough look to age these birds but I suspect they were adults.  Recording taken from about 20' away and the birds were on the ground.  The process of finding each other and coming back together may have been initiated in response to my presence as a perceived threat.   /  / bird-seen:yes /  / playback-used:no",Abert's Towhee (Melozone aberti)
9,United States,8,Abert's Towhee,288434,XC288434.mp3,https://www.xeno-canto.org/288434/download,Melozone,34.8464,http://creativecommons.org/licenses/by-nc-sa/4.0/,"Pintail Slough, Havasu NWR, Mohave County, Arizona, United States",-114.5233,David Vander Pluym,https://www.xeno-canto.org/contributor/IBYEFBUOWZ,https://www.xeno-canto.org/sounds/uploaded/IBYEFBUOWZ/ffts/XC288434-med.png,aberti,call,"XC288434 © David Vander Pluym // Pintail Slough, Havasu NWR, Mohave County, Arizona (34.8464, -114.5233), United States // 140m // 08:05h, 2014-07-29 // call // High pass filter ran and amplified. Along a marshy canal with cottonwoods and mesquite planted on the edges otherwise surrounded by ag fields. Taken from XC288432 which is a recording of the Bell's Vireo in this recording. Same individual as XC288439 which was taken after this recording.  /  / bird-seen:yes /  / playback-used:no // also:  Yellow-breasted Chat, Bell's Vireo",Abert's Towhee (Melozone aberti)
